name,Worldwide,year,trailer,watched,,
Hidden Figures,"$235,956,898",2016,https://www.youtube.com/results?search_query=Hidden+Figures+trailer&page=&utm_source=opensearch,0,,
Annabelle Comes Home,"$231,252,591",2019,https://www.youtube.com/results?search_query=Annabelle+Comes+Home+trailer&page=&utm_source=opensearch,0,,
Ghostbusters,"$229,147,509",2016,https://www.youtube.com/results?search_query=Ghostbusters+trailer&page=&utm_source=opensearch,0,,
Paddington 2,"$227,978,523",2017,https://www.youtube.com/results?search_query=Paddington+2+trailer&page=&utm_source=opensearch,0,,
Youth,"$227,091,290",2017,https://www.youtube.com/results?search_query=Youth+trailer&page=&utm_source=opensearch,0,,
Baby Driver,"$226,945,087",2017,https://www.youtube.com/results?search_query=Baby+Driver+trailer&page=&utm_source=opensearch,0,,
Valerian and the City of a Thousand Planets,"$225,874,228",2017,https://www.youtube.com/results?search_query=Valerian+and+the+City+of+a+Thousand+Planets+trailer&page=&utm_source=opensearch,0,,
Better Days,"$225,820,914",2019,https://www.youtube.com/results?search_query=Better+Days+trailer&page=&utm_source=opensearch,0,,
Ford v Ferrari,"$225,508,210",2019,https://www.youtube.com/results?search_query=Ford+v+Ferrari+trailer&page=&utm_source=opensearch,0,,
Geostorm,"$221,600,160",2017,https://www.youtube.com/results?search_query=Geostorm+trailer&page=&utm_source=opensearch,0,,
Inferno,"$220,021,259",2016,https://www.youtube.com/results?search_query=Inferno+trailer&page=&utm_source=opensearch,0,,
The Emoji Movie,"$217,776,646",2017,https://www.youtube.com/results?search_query=The+Emoji+Movie+trailer&page=&utm_source=opensearch,0,,
Central Intelligence,"$216,972,543",2016,https://www.youtube.com/results?search_query=Central+Intelligence+trailer&page=&utm_source=opensearch,0,,
Little Women,"$216,601,214",2019,https://www.youtube.com/results?search_query=Little+Women+trailer&page=&utm_source=opensearch,0,,
Creed II,"$214,215,889",2018,https://www.youtube.com/results?search_query=Creed+II+trailer&page=&utm_source=opensearch,0,,
Smallfoot,"$214,040,103",2018,https://www.youtube.com/results?search_query=Smallfoot+trailer&page=&utm_source=opensearch,0,,
Bridget Jones's Baby,"$211,952,420",2016,https://www.youtube.com/results?search_query=Bridget+Jones's+Baby+trailer&page=&utm_source=opensearch,0,,
Me Before You,"$208,314,186",2016,https://www.youtube.com/results?search_query=Me+Before+You+trailer&page=&utm_source=opensearch,0,,
London Has Fallen,"$205,754,447",2016,https://www.youtube.com/results?search_query=London+Has+Fallen+trailer&page=&utm_source=opensearch,0,,
A Dog's Purpose,"$205,035,819",2017,https://www.youtube.com/results?search_query=A+Dog's+Purpose+trailer&page=&utm_source=opensearch,0,,
Arrival,"$203,388,186",2016,https://www.youtube.com/results?search_query=Arrival+trailer&page=&utm_source=opensearch,0,,
The Addams Family,"$203,044,905",2019,https://www.youtube.com/results?search_query=The+Addams+Family+trailer&page=&utm_source=opensearch,0,,
Harley Quinn: Birds of Prey,"$201,858,461",2020,https://www.youtube.com/results?search_query=Harley+Quinn:+Birds+of+Prey+trailer&page=&utm_source=opensearch,0,,
The Island,"$198,326,350",2018,https://www.youtube.com/results?search_query=The+Island+trailer&page=&utm_source=opensearch,0,,
Christopher Robin,"$197,744,377",2018,https://www.youtube.com/results?search_query=Christopher+Robin+trailer&page=&utm_source=opensearch,0,,
Smurfs: The Lost Village,"$197,183,546",2017,https://www.youtube.com/results?search_query=Smurfs:+The+Lost+Village+trailer&page=&utm_source=opensearch,0,,
The Shape of Water,"$195,333,312",2017,https://www.youtube.com/results?search_query=The+Shape+of+Water+trailer&page=&utm_source=opensearch,0,,
The BFG,"$195,243,411",2016,https://www.youtube.com/results?search_query=The+BFG+trailer&page=&utm_source=opensearch,0,,
Rocketman,"$195,179,299",2019,https://www.youtube.com/results?search_query=Rocketman+trailer&page=&utm_source=opensearch,0,,
Downton Abbey,"$194,296,354",2019,https://www.youtube.com/results?search_query=Downton+Abbey+trailer&page=&utm_source=opensearch,0,,
The Monkey King 2,"$193,678,298",2016,https://www.youtube.com/results?search_query=The+Monkey+King+2+trailer&page=&utm_source=opensearch,0,,
Weathering with You,"$193,176,979",2019,https://www.youtube.com/results?search_query=Weathering+with+You+trailer&page=&utm_source=opensearch,0,,
The LEGO Movie 2: The Second Part,"$192,306,508",2019,https://www.youtube.com/results?search_query=The+LEGO+Movie+2:+The+Second+Part+trailer&page=&utm_source=opensearch,0,,
The Equalizer 2,"$190,400,157",2018,https://www.youtube.com/results?search_query=The+Equalizer+2+trailer&page=&utm_source=opensearch,0,,
The White Storm 2: Drug Lords,"$189,396,380",2019,https://www.youtube.com/results?search_query=The+White+Storm+2:+Drug+Lords+trailer&page=&utm_source=opensearch,0,,
Pitch Perfect 3,"$185,400,345",2017,https://www.youtube.com/results?search_query=Pitch+Perfect+3+trailer&page=&utm_source=opensearch,0,,
Bad Moms,"$183,936,074",2016,https://www.youtube.com/results?search_query=Bad+Moms+trailer&page=&utm_source=opensearch,0,,
Storks,"$183,388,953",2016,https://www.youtube.com/results?search_query=Storks+trailer&page=&utm_source=opensearch,0,,
Daddy's Home 2,"$180,613,180",2017,https://www.youtube.com/results?search_query=Daddy's+Home+2+trailer&page=&utm_source=opensearch,0,,
